term,estimate,std.error,statistic,p.value,nct_id,model_n
(Intercept),-2.639,0.313,-8.4178329286,3.835121758647971e-17,NCT00696241,1
age_std,0.071,0.238,0.2958648839,0.7673332697,NCT00696241,1
sex,0.116,0.358,0.3246033368,0.7454813015,NCT00696241,1
como_cnt,0.308,0.236,1.3045603235,0.192042606,NCT00696241,1
(Intercept),-2.675,0.32,-8.3679549303,5.862680739310804e-17,NCT00696241,2
age_std,0.062,0.24,0.2577806543,0.7965761957,NCT00696241,2
sex,0.086,0.36,0.2392474479,0.8109137126,NCT00696241,2
como_cnt,0.705,0.631,1.1158277183,0.2644958866,NCT00696241,2
I(como_cnt^2),-0.208,0.314,-0.6615538129,0.5082572162,NCT00696241,2
(Intercept),-2.44,0.261,-9.339446603,9.683893040450968e-21,NCT00696241,5
age_std,0.084,0.238,0.3514874881,0.7252226575,NCT00696241,5
sex,0.062,0.354,0.1749234514,0.8611397828,NCT00696241,5
(Intercept),-2.703,0.333,-8.1265150513,4.4180866565944716e-16,NCT00696241,3
age_std,0.134,0.251,0.5329574068,0.594063065,NCT00696241,3
I(age_std^2),0.132,0.216,0.6109553038,0.5412291707,NCT00696241,3
sex,0.102,0.36,0.2819813416,0.7779578172,NCT00696241,3
como_cnt,0.306,0.236,1.2957829983,0.1950502571,NCT00696241,3
(Intercept),-2.745,0.34,-8.0820471367,6.36884769046438e-16,NCT00696241,4
age_std,0.127,0.25,0.5076430804,0.6117036726,NCT00696241,4
I(age_std^2),0.14,0.216,0.6487663012,0.5164894422,NCT00696241,4
sex,0.068,0.362,0.1873536898,0.8513833298,NCT00696241,4
como_cnt,0.721,0.633,1.1397090769,0.2544075243,NCT00696241,4
I(como_cnt^2),-0.217,0.315,-0.6907867639,0.4896995547,NCT00696241,4
(Intercept),-2.417,0.301,-8.0291170953,9.817662072347478e-16,NCT00696436,1
age_std,0.309,0.232,1.3347856725,0.1819465041,NCT00696436,1
sex,0.31,0.344,0.9011582142,0.3675042046,NCT00696436,1
como_cnt,0.062,0.203,0.3044075692,0.7608174019,NCT00696436,1
(Intercept),-2.304,0.304,-7.5818115844,3.4076291160471515e-14,NCT00696436,2
age_std,0.319,0.235,1.3553527047,0.1753052105,NCT00696436,2
sex,0.32,0.349,0.916739952,0.3592789253,NCT00696436,2
como_cnt,-0.682,0.427,-1.5968941013,0.1102893149,NCT00696436,2
I(como_cnt^2),0.236,0.114,2.0758998418,0.0379032154,NCT00696436,2
(Intercept),-2.373,0.262,-9.0504434389,1.4238891048361893e-19,NCT00696436,5
age_std,0.318,0.23,1.3835824599,0.1664863421,NCT00696436,5
sex,0.29,0.337,0.8606493605,0.3894311913,NCT00696436,5
(Intercept),-2.301,0.324,-7.0908377445,1.3330256298235647e-12,NCT00696436,3
age_std,0.212,0.27,0.7850733386,0.4324105705,NCT00696436,3
I(age_std^2),-0.255,0.287,-0.8906383188,0.3731232351,NCT00696436,3
