term,estimate,se,nct_id,model_n,outcome
(Intercept),-1.861,0.392,NCT00207662,1,early_withdrawal
age_std,-0.266,0.175,NCT00207662,1,early_withdrawal
sexTRUE,-0.172,0.258,NCT00207662,1,early_withdrawal
como_cnt,0.187,0.117,NCT00207662,1,early_withdrawal
(Intercept),-1.798,0.402,NCT00207662,2,early_withdrawal
age_std,-0.278,0.177,NCT00207662,2,early_withdrawal
sexTRUE,-0.195,0.26,NCT00207662,2,early_withdrawal
como_cnt,0.02,0.261,NCT00207662,2,early_withdrawal
I(como_cnt^2),0.047,0.065,NCT00207662,2,early_withdrawal
(Intercept),-1.403,0.426,NCT00207662,3,early_withdrawal
age_std,-0.281,0.178,NCT00207662,3,early_withdrawal
sexTRUE,-0.204,0.262,NCT00207662,3,early_withdrawal
como_cnt,-0.064,0.164,NCT00207662,3,early_withdrawal
armtreat,-1.052,0.39,NCT00207662,3,early_withdrawal
como_cnt:armtreat,0.549,0.232,NCT00207662,3,early_withdrawal
(Intercept),-1.346,0.446,NCT00207662,4,early_withdrawal
age_std,-0.296,0.181,NCT00207662,4,early_withdrawal
sexTRUE,-0.225,0.265,NCT00207662,4,early_withdrawal
armtreat,-1.02,0.444,NCT00207662,4,early_withdrawal
como_cnt,-0.244,0.352,NCT00207662,4,early_withdrawal
I(como_cnt^2),0.053,0.088,NCT00207662,4,early_withdrawal
armtreat:como_cnt,0.509,0.549,NCT00207662,4,early_withdrawal
armtreat:I(como_cnt^2),0.01,0.141,NCT00207662,4,early_withdrawal
(Intercept),-1.499,0.31,NCT00207662,5,early_withdrawal
age_std,-0.185,0.167,NCT00207662,5,early_withdrawal
sexTRUE,-0.203,0.256,NCT00207662,5,early_withdrawal
(Intercept),-2.339,0.527,NCT00207662,6,early_withdrawal
armtreat,0.86,0.639,NCT00207662,6,early_withdrawal
age_std,-0.496,0.242,NCT00207662,6,early_withdrawal
sexTRUE,0.434,0.348,NCT00207662,6,early_withdrawal
como_cnt,0.203,0.117,NCT00207662,6,early_withdrawal
armtreat:age_std,0.44,0.342,NCT00207662,6,early_withdrawal
armtreat:sexTRUE,-1.435,0.555,NCT00207662,6,early_withdrawal
(Intercept),-2.298,0.537,NCT00207662,7,early_withdrawal
armtreat,0.854,0.64,NCT00207662,7,early_withdrawal
age_std,-0.504,0.244,NCT00207662,7,early_withdrawal
sexTRUE,0.411,0.353,NCT00207662,7,early_withdrawal
como_cnt,0.105,0.267,NCT00207662,7,early_withdrawal
I(como_cnt^2),0.027,0.066,NCT00207662,7,early_withdrawal
armtreat:age_std,0.44,0.342,NCT00207662,7,early_withdrawal
armtreat:sexTRUE,-1.41,0.559,NCT00207662,7,early_withdrawal
(Intercept),-1.893,0.557,NCT00207662,8,early_withdrawal
armtreat,-0.1,0.812,NCT00207662,8,early_withdrawal
age_std,-0.392,0.246,NCT00207662,8,early_withdrawal
sexTRUE,0.371,0.347,NCT00207662,8,early_withdrawal
como_cnt,-0.012,0.165,NCT00207662,8,early_withdrawal
armtreat:age_std,0.226,0.363,NCT00207662,8,early_withdrawal
